"","Date","Frequency"
"281","2006-10-12",3
"282","2006-10-13",9
"283","2006-10-14",9
"284","2006-10-15",11
"285","2006-10-16",6
"286","2006-10-17",4
"287","2006-10-18",4
"288","2006-10-19",1
"289","2006-10-20",4
"290","2006-10-21",4
"291","2006-10-22",6
"292","2006-10-23",5
"293","2006-10-24",6
"294","2006-10-25",9
"295","2006-10-26",6
"296","2006-10-27",4
"297","2006-10-28",11
"298","2006-10-29",5
"299","2006-10-30",5
"300","2006-10-31",7
"301","2006-11-01",8
"302","2006-11-02",2
"303","2006-11-03",4
"304","2006-11-04",6
"305","2006-11-05",5
"306","2006-11-06",5
"307","2006-11-07",3
"308","2006-11-08",14
"309","2006-11-09",2
"310","2006-11-10",6
"311","2006-11-11",8
"312","2006-11-12",4
"313","2006-11-13",2
"314","2006-11-14",6
"315","2006-11-15",9
"316","2006-11-16",8
"317","2006-11-17",3
"318","2006-11-18",8
"319","2006-11-19",9
"320","2006-11-20",3
"321","2006-11-21",5
"322","2006-11-22",8
"323","2006-11-23",8
"324","2006-11-24",10
"325","2006-11-25",8
"326","2006-11-26",8
"327","2006-11-27",8
"328","2006-11-28",23
"329","2006-11-29",2
"330","2006-11-30",6
"331","2006-12-01",8
"332","2006-12-02",5
"333","2006-12-03",7
"334","2006-12-04",3
"335","2006-12-05",8
"336","2006-12-06",9
"337","2006-12-07",9
"338","2006-12-08",6
"339","2006-12-09",7
"340","2006-12-10",3
"341","2006-12-11",5
"342","2006-12-12",5
"343","2006-12-13",8
"344","2006-12-14",6
"345","2006-12-15",11
"346","2006-12-16",16
"347","2006-12-17",5
"348","2006-12-18",8
"349","2006-12-19",3
"350","2006-12-20",3
"351","2006-12-21",1
"352","2006-12-22",1
"353","2006-12-23",4
"354","2006-12-24",10
"355","2006-12-25",5
"356","2006-12-26",3
"357","2006-12-27",4
"358","2006-12-28",4
"359","2006-12-29",3
"360","2006-12-30",4
"361","2006-12-31",10
"362","2007-01-01",21
"363","2007-01-02",19
"364","2007-01-03",11
"365","2007-01-04",10
"366","2007-01-05",4
"367","2007-01-06",6
"368","2007-01-07",6
"369","2007-01-08",10
"370","2007-01-09",4
"371","2007-01-10",12
"372","2007-01-11",5
"373","2007-01-12",4
"374","2007-01-13",7
"375","2007-01-14",7
"376","2007-01-15",9
"377","2007-01-16",11
"378","2007-01-17",10
"379","2007-01-18",5
"380","2007-01-19",5
"381","2007-01-20",5
"382","2007-01-21",2
"383","2007-01-22",4
"384","2007-01-23",9
"385","2007-01-24",11
"386","2007-01-25",13
"387","2007-01-26",8
"388","2007-01-27",7
"389","2007-01-28",5
"390","2007-01-29",8
"391","2007-01-30",1
"392","2007-01-31",3
"393","2007-02-01",7
"394","2007-02-02",5
"395","2007-02-03",3
"396","2007-02-04",8
"397","2007-02-05",1
"398","2007-02-06",13
"399","2007-02-07",8
"400","2007-02-08",6
"401","2007-02-09",1
"402","2007-02-10",6
"403","2007-02-11",3
"404","2007-02-12",3
"405","2007-02-13",3
"406","2007-02-14",5
"407","2007-02-15",5
"408","2007-02-16",5
"409","2007-02-17",5
"410","2007-02-18",5
"411","2007-02-19",1
"412","2007-02-20",4
"413","2007-02-21",5
"414","2007-02-22",7
"415","2007-02-23",2
"416","2007-02-24",6
"417","2007-02-25",4
"418","2007-02-26",3
"419","2007-02-27",3
"420","2007-02-28",13
"421","2007-03-01",9
"422","2007-03-02",5
"423","2007-03-03",6
"424","2007-03-04",5
"425","2007-03-05",10
"426","2007-03-06",8
"427","2007-03-07",7
"428","2007-03-08",13
"429","2007-03-09",6
"430","2007-03-10",6
"431","2007-03-11",7
"432","2007-03-12",5
"433","2007-03-13",6
"434","2007-03-14",8
"435","2007-03-15",6
"436","2007-03-16",6
"437","2007-03-17",9
"438","2007-03-18",5
"439","2007-03-19",5
"440","2007-03-20",7
"441","2007-03-21",4
"442","2007-03-22",5
"443","2007-03-23",2
"444","2007-03-24",5
"445","2007-03-25",7
"446","2007-03-26",3
"447","2007-03-27",2
"448","2007-03-28",4
"449","2007-03-29",4
"450","2007-03-30",7
"451","2007-03-31",8
"452","2007-04-01",9
"453","2007-04-02",5
"454","2007-04-03",5
"455","2007-04-04",8
"456","2007-04-05",2
"457","2007-04-06",2
"458","2007-04-07",5
"459","2007-04-08",3
"460","2007-04-09",9
"461","2007-04-10",1
"462","2007-04-11",1
"463","2007-04-12",9
"464","2007-04-13",3
"465","2007-04-14",9
"466","2007-04-15",4
"467","2007-04-16",4
"468","2007-04-17",5
"469","2007-04-18",4
"470","2007-04-19",6
"471","2007-04-20",12
"472","2007-04-21",10
"473","2007-04-22",8
"474","2007-04-23",2
"475","2007-04-24",5
"476","2007-04-25",3
"477","2007-04-26",4
"478","2007-04-27",6
"479","2007-04-28",5
"480","2007-04-29",7
"481","2007-04-30",3
"482","2007-05-01",9
"483","2007-05-02",4
"484","2007-05-03",5
"485","2007-05-04",4
"486","2007-05-05",5
"487","2007-05-06",3
"488","2007-05-07",8
"489","2007-05-08",9
"490","2007-05-09",5
"491","2007-05-10",7
"492","2007-05-11",3
"493","2007-05-12",6
"494","2007-05-13",2
"495","2007-05-14",4
"496","2007-05-15",10
"497","2007-05-16",4
"498","2007-05-17",2
"499","2007-05-18",2
"500","2007-05-19",5
"501","2007-05-20",7
"502","2007-05-21",2
"503","2007-05-22",4
"504","2007-05-23",6
"505","2007-05-24",1
"506","2007-05-25",1
"507","2007-05-26",9
"508","2007-05-27",3
"509","2007-05-28",5
"510","2007-05-29",4
"511","2007-05-30",5
"512","2007-05-31",7
"513","2007-06-01",2
"514","2007-06-02",1
"515","2007-06-03",5
"516","2007-06-04",6
"517","2007-06-05",5
"518","2007-06-06",7
"519","2007-06-07",6
"520","2007-06-08",4
"521","2007-06-09",7
"522","2007-06-10",8
"523","2007-06-11",9
"524","2007-06-12",3
"525","2007-06-13",3
"526","2007-06-14",6
"527","2007-06-15",12
"528","2007-06-16",6
"529","2007-06-17",4
"530","2007-06-18",9
"531","2007-06-19",23
"532","2007-06-20",20
"533","2007-06-21",7
"534","2007-06-22",6
"535","2007-06-23",16
"536","2007-06-24",10
"537","2007-06-25",7
"538","2007-06-26",6
"539","2007-06-27",2
"540","2007-06-28",5
"541","2007-06-29",4
"542","2007-06-30",13
"543","2007-07-01",11
"544","2007-07-02",1
"545","2007-07-03",15
"546","2007-07-04",28
"547","2007-07-05",5
"548","2007-07-06",7
"549","2007-07-07",17
"550","2007-07-08",6
"551","2007-07-09",7
"552","2007-07-10",5
"553","2007-07-11",6
"554","2007-07-12",8
"555","2007-07-13",7
"556","2007-07-14",13
"557","2007-07-15",16
"558","2007-07-16",7
"559","2007-07-17",3
"560","2007-07-18",2
"561","2007-07-19",6
"562","2007-07-20",15
"563","2007-07-21",16
"564","2007-07-22",7
"565","2007-07-23",5
"566","2007-07-24",4
"567","2007-07-25",6
"568","2007-07-26",3
"569","2007-07-27",11
"570","2007-07-28",7
"571","2007-07-29",4
"572","2007-07-30",5
"573","2007-07-31",6
"574","2007-08-01",3
"575","2007-08-02",5
"576","2007-08-03",8
"577","2007-08-04",9
"578","2007-08-05",5
"579","2007-08-06",1
"580","2007-08-07",6
"581","2007-08-08",5
"582","2007-08-09",7
"583","2007-08-10",7
"584","2007-08-11",15
"585","2007-08-12",21
"586","2007-08-13",10
"587","2007-08-14",6
"588","2007-08-15",16
"589","2007-08-16",8
"590","2007-08-17",7
"591","2007-08-18",7
"592","2007-08-19",12
"593","2007-08-20",14
"594","2007-08-21",6
"595","2007-08-22",2
"596","2007-08-23",8
"597","2007-08-24",7
"598","2007-08-25",5
"599","2007-08-26",5
"600","2007-08-27",10
"601","2007-08-28",11
"602","2007-08-29",4
"603","2007-08-30",6
"604","2007-08-31",4
"605","2007-09-01",15
"606","2007-09-02",12
"607","2007-09-03",4
"608","2007-09-04",6
"609","2007-09-05",7
"610","2007-09-06",4
"611","2007-09-07",4
"612","2007-09-08",6
"613","2007-09-09",5
"614","2007-09-10",2
"615","2007-09-11",9
"616","2007-09-12",9
"617","2007-09-13",12
"618","2007-09-14",8
"619","2007-09-15",15
"620","2007-09-16",6
"621","2007-09-17",14
"622","2007-09-18",4
"623","2007-09-19",3
"624","2007-09-20",8
"625","2007-09-21",9
"626","2007-09-22",13
"627","2007-09-23",3
"628","2007-09-24",6
"629","2007-09-25",10
"630","2007-09-26",6
"631","2007-09-27",7
"632","2007-09-28",1
"633","2007-09-29",6
"634","2007-09-30",9
"635","2007-10-01",9
"636","2007-10-02",7
"637","2007-10-03",11
"638","2007-10-04",7
"639","2007-10-05",8
"640","2007-10-06",7
"641","2007-10-07",11
"642","2007-10-08",4
"643","2007-10-09",7
"644","2007-10-10",11
"645","2007-10-11",6
"646","2007-10-12",10
"647","2007-10-13",6
"648","2007-10-14",6
"649","2007-10-15",12
"650","2007-10-16",7
"651","2007-10-17",4
"652","2007-10-18",3
"653","2007-10-19",8
"654","2007-10-20",13
"655","2007-10-21",10
"656","2007-10-22",6
"657","2007-10-23",11
"658","2007-10-24",7
"659","2007-10-25",8
"660","2007-10-26",9
"661","2007-10-27",3
"662","2007-10-28",13
"663","2007-10-29",8
"664","2007-10-30",9
"665","2007-10-31",4
"666","2007-11-01",14
"667","2007-11-02",8
"668","2007-11-03",3
"669","2007-11-04",9
"670","2007-11-05",11
"671","2007-11-06",6
"672","2007-11-07",7
"673","2007-11-08",9
"674","2007-11-09",3
"675","2007-11-10",10
"676","2007-11-11",5
"677","2007-11-12",11
"678","2007-11-13",9
"679","2007-11-14",5
"680","2007-11-15",8
"681","2007-11-16",4
"682","2007-11-17",3
"683","2007-11-18",6
"684","2007-11-19",2
"685","2007-11-20",5
"686","2007-11-21",4
"687","2007-11-22",2
"688","2007-11-23",5
"689","2007-11-24",3
"690","2007-11-25",4
"691","2007-11-26",3
"692","2007-11-27",9
"693","2007-11-28",5
"694","2007-11-29",7
"695","2007-11-30",4
"696","2007-12-01",6
"697","2007-12-02",4
"698","2007-12-03",6
"699","2007-12-04",8
"700","2007-12-05",5
"701","2007-12-06",3
"702","2007-12-07",2
"703","2007-12-08",5
"704","2007-12-09",3
"705","2007-12-10",11
"706","2007-12-11",6
"707","2007-12-12",11
"708","2007-12-13",1
"709","2007-12-14",6
"710","2007-12-15",10
"711","2007-12-16",2
"712","2007-12-17",1
"713","2007-12-18",1
"714","2007-12-19",2
"715","2007-12-20",6
"716","2007-12-21",2
"717","2007-12-22",6
"718","2007-12-23",10
"719","2007-12-24",5
"720","2007-12-25",3
"721","2007-12-26",1
"722","2007-12-27",1
"723","2007-12-28",5
"724","2007-12-29",5
"725","2007-12-30",4
"726","2007-12-31",8
"727","2008-01-01",18
"728","2008-01-02",7
"729","2008-01-03",5
"730","2008-01-04",7
"731","2008-01-05",5
"732","2008-01-06",2
"733","2008-01-07",5
"734","2008-01-08",9
"735","2008-01-09",6
"736","2008-01-10",6
"737","2008-01-11",5
"738","2008-01-12",8
"739","2008-01-13",6
"740","2008-01-14",7
"741","2008-01-15",15
"742","2008-01-16",7
"743","2008-01-17",9
"744","2008-01-18",11
"745","2008-01-19",4
"746","2008-01-20",12
"747","2008-01-21",3
"748","2008-01-22",6
"749","2008-01-23",6
"750","2008-01-24",8
"751","2008-01-25",6
"752","2008-01-26",8
"753","2008-01-27",6
"754","2008-01-28",5
"755","2008-01-29",7
"756","2008-01-30",7
"757","2008-01-31",8
"758","2008-02-01",7
"759","2008-02-02",4
"760","2008-02-03",2
"761","2008-02-04",4
"762","2008-02-05",3
"763","2008-02-06",6
"764","2008-02-07",6
"765","2008-02-08",3
"766","2008-02-09",9
"767","2008-02-10",2
"768","2008-02-11",9
"769","2008-02-12",8
"770","2008-02-13",8
"771","2008-02-14",7
"772","2008-02-15",5
"773","2008-02-16",7
"774","2008-02-17",11
"775","2008-02-18",4
"776","2008-02-19",10
"777","2008-02-20",18
"778","2008-02-21",9
"779","2008-02-22",7
"780","2008-02-23",7
"781","2008-02-24",5
"782","2008-02-25",6
"783","2008-02-26",4
"784","2008-02-27",11
"785","2008-02-28",6
"786","2008-02-29",4
"787","2008-03-01",6
"788","2008-03-02",9
"789","2008-03-03",5
"790","2008-03-04",3
"791","2008-03-05",11
"792","2008-03-06",11
"793","2008-03-07",4
"794","2008-03-08",10
"795","2008-03-09",7
"796","2008-03-10",6
"797","2008-03-11",7
"798","2008-03-12",2
"799","2008-03-13",5
"800","2008-03-14",2
"801","2008-03-15",13
"802","2008-03-16",6
"803","2008-03-17",3
"804","2008-03-18",2
"805","2008-03-19",6
"806","2008-03-20",7
"807","2008-03-21",6
"808","2008-03-22",6
"809","2008-03-23",7
"810","2008-03-24",11
"811","2008-03-25",9
"812","2008-03-26",10
"813","2008-03-27",7
"814","2008-03-28",3
"815","2008-03-29",4
"816","2008-03-30",3
"817","2008-03-31",4
"818","2008-04-01",4
"819","2008-04-02",6
"820","2008-04-03",3
"821","2008-04-04",7
"822","2008-04-05",5
"823","2008-04-06",2
"824","2008-04-07",8
"825","2008-04-08",2
"826","2008-04-09",2
"827","2008-04-10",13
"828","2008-04-11",6
"829","2008-04-12",8
"830","2008-04-13",5
"831","2008-04-14",8
"832","2008-04-15",4
"833","2008-04-16",17
"834","2008-04-17",19
"835","2008-04-18",4
"836","2008-04-19",8
"837","2008-04-20",10
"838","2008-04-21",7
"839","2008-04-22",8
"840","2008-04-23",10
"841","2008-04-24",9
"842","2008-04-25",9
"843","2008-04-26",8
"844","2008-04-27",11
"845","2008-04-28",1
"846","2008-04-29",8
"847","2008-04-30",7
"848","2008-05-01",4
"849","2008-05-02",8
"850","2008-05-03",6
"851","2008-05-04",5
"852","2008-05-05",10
"853","2008-05-06",5
"854","2008-05-07",6
"855","2008-05-08",7
"856","2008-05-09",5
"857","2008-05-10",5
"858","2008-05-11",6
"859","2008-05-12",1
"860","2008-05-13",5
"861","2008-05-14",5
"862","2008-05-15",3
"863","2008-05-16",9
"864","2008-05-17",9
"865","2008-05-18",5
"866","2008-05-19",5
"867","2008-05-20",7
"868","2008-05-21",8
"869","2008-05-22",5
"870","2008-05-23",7
"871","2008-05-24",6
"872","2008-05-25",6
"873","2008-05-26",5
"874","2008-05-27",2
"875","2008-05-28",6
"876","2008-05-29",4
"877","2008-05-30",4
"878","2008-05-31",5
"879","2008-06-01",6
"880","2008-06-02",8
"881","2008-06-03",2
"882","2008-06-04",3
"883","2008-06-05",10
"884","2008-06-06",13
"885","2008-06-07",16
"886","2008-06-08",12
"887","2008-06-09",6
"888","2008-06-10",7
"889","2008-06-11",3
"890","2008-06-12",10
"891","2008-06-13",9
"892","2008-06-14",17
"893","2008-06-15",5
"894","2008-06-16",5
"895","2008-06-17",8
"896","2008-06-18",8
"897","2008-06-19",7
"898","2008-06-20",11
"899","2008-06-21",16
"900","2008-06-22",8
"901","2008-06-23",10
"902","2008-06-24",6
"903","2008-06-25",3
"904","2008-06-26",5
"905","2008-06-27",5
"906","2008-06-28",11
"907","2008-06-29",4
"908","2008-06-30",18
"909","2008-07-01",3
"910","2008-07-02",9
"911","2008-07-03",10
"912","2008-07-04",39
"913","2008-07-05",22
"914","2008-07-06",3
"915","2008-07-07",6
"916","2008-07-08",4
"917","2008-07-09",4
"918","2008-07-10",6
"919","2008-07-11",8
"920","2008-07-12",13
"921","2008-07-13",11
"922","2008-07-14",10
"923","2008-07-15",11
"924","2008-07-16",5
"925","2008-07-17",6
"926","2008-07-18",13
"927","2008-07-19",7
"928","2008-07-20",6
"929","2008-07-21",6
"930","2008-07-22",5
"931","2008-07-23",8
"932","2008-07-24",6
"933","2008-07-25",10
"934","2008-07-26",9
"935","2008-07-27",9
"936","2008-07-28",3
"937","2008-07-29",4
"938","2008-07-30",6
"939","2008-07-31",15
"940","2008-08-01",12
"941","2008-08-02",20
"942","2008-08-03",13
"943","2008-08-04",11
"944","2008-08-05",6
"945","2008-08-06",3
"946","2008-08-07",9
"947","2008-08-08",15
"948","2008-08-09",12
"949","2008-08-10",6
"950","2008-08-11",6
"951","2008-08-12",5
"952","2008-08-13",8
"953","2008-08-14",8
"954","2008-08-15",8
"955","2008-08-16",4
"956","2008-08-17",5
"957","2008-08-18",5
"958","2008-08-19",9
"959","2008-08-20",9
"960","2008-08-21",6
"961","2008-08-22",7
"962","2008-08-23",6
"963","2008-08-24",7
"964","2008-08-25",6
"965","2008-08-26",7
"966","2008-08-27",8
"967","2008-08-28",7
"968","2008-08-29",7
"969","2008-08-30",5
"970","2008-08-31",15
"971","2008-09-01",5
"972","2008-09-02",7
"973","2008-09-03",4
"974","2008-09-04",3
"975","2008-09-05",5
"976","2008-09-06",7
"977","2008-09-07",7
"978","2008-09-08",1
"979","2008-09-09",7
"980","2008-09-10",8
"981","2008-09-12",11
"982","2008-09-13",1
"983","2008-09-14",9
"984","2008-09-15",10
"985","2008-09-16",4
"986","2008-09-17",9
"987","2008-09-18",8
"988","2008-09-19",11
"989","2008-09-20",10
"990","2008-09-21",7
"991","2008-09-22",10
"992","2008-09-23",10
"993","2008-09-24",8
"994","2008-09-25",9
"995","2008-09-26",11
"996","2008-09-27",6
"997","2008-09-28",10
"998","2008-09-29",9
"999","2008-09-30",1
"1000","2008-10-01",17
"1001","2008-10-02",7
"1002","2008-10-03",9
"1003","2008-10-04",7
"1004","2008-10-05",2
"1005","2008-10-06",8
"1006","2008-10-07",7
"1007","2008-10-08",9
"1008","2008-10-09",13
"1009","2008-10-10",16
"1010","2008-10-11",9
"1011","2008-10-12",10
"1012","2008-10-13",3
"1013","2008-10-14",10
"1014","2008-10-15",8
"1015","2008-10-16",5
"1016","2008-10-17",11
"1017","2008-10-18",8
"1018","2008-10-19",10
"1019","2008-10-20",8
"1020","2008-10-21",9
"1021","2008-10-22",5
"1022","2008-10-23",16
"1023","2008-10-24",10
"1024","2008-10-25",11
"1025","2008-10-26",9
"1026","2008-10-27",11
"1027","2008-10-28",19
"1028","2008-10-29",13
"1029","2008-10-30",12
"1030","2008-10-31",21
"1031","2008-11-01",14
"1032","2008-11-02",14
"1033","2008-11-03",6
"1034","2008-11-04",5
"1035","2008-11-05",1
"1036","2008-11-06",4
"1037","2008-11-07",4
"1038","2008-11-08",9
"1039","2008-11-09",9
"1040","2008-11-10",9
"1041","2008-11-11",4
"1042","2008-11-12",6
"1043","2008-11-13",5
"1044","2008-11-14",5
"1045","2008-11-15",10
"1046","2008-11-16",8
"1047","2008-11-17",12
"1048","2008-11-18",14
"1049","2008-11-19",9
"1050","2008-11-20",15
"1051","2008-11-21",12
"1052","2008-11-22",8
"1053","2008-11-23",13
"1054","2008-11-24",4
"1055","2008-11-25",5
"1056","2008-11-26",6
"1057","2008-11-27",12
"1058","2008-11-28",8
"1059","2008-11-29",6
"1060","2008-11-30",5
"1061","2008-12-01",7
"1062","2008-12-02",11
"1063","2008-12-03",4
"1064","2008-12-04",5
"1065","2008-12-05",6
"1066","2008-12-06",11
"1067","2008-12-07",6
"1068","2008-12-08",3
"1069","2008-12-09",1
"1070","2008-12-10",5
"1071","2008-12-11",2
"1072","2008-12-12",5
"1073","2008-12-13",12
"1074","2008-12-14",6
"1075","2008-12-15",3
"1076","2008-12-16",7
"1077","2008-12-17",5
"1078","2008-12-18",7
"1079","2008-12-19",3
"1080","2008-12-20",3
"1081","2008-12-21",2
"1082","2008-12-22",8
"1083","2008-12-23",3
"1084","2008-12-24",4
"1085","2008-12-25",7
"1086","2008-12-26",2
"1087","2008-12-27",7
"1088","2008-12-28",6
"1089","2008-12-29",10
"1090","2008-12-30",6
"1091","2008-12-31",9
"1092","2009-01-01",13
"1093","2009-01-02",6
"1094","2009-01-03",8
"1095","2009-01-04",4
"1096","2009-01-05",4
"1097","2009-01-06",4
"1098","2009-01-07",6
"1099","2009-01-08",5
"1100","2009-01-09",6
"1101","2009-01-10",8
"1102","2009-01-11",6
"1103","2009-01-12",8
"1104","2009-01-13",14
"1105","2009-01-14",11
"1106","2009-01-15",10
"1107","2009-01-16",15
"1108","2009-01-17",6
"1109","2009-01-18",19
"1110","2009-01-19",8
"1111","2009-01-20",6
"1112","2009-01-21",7
"1113","2009-01-22",3
"1114","2009-01-23",16
"1115","2009-01-24",10
"1116","2009-01-25",4
"1117","2009-01-26",9
"1118","2009-01-27",5
"1119","2009-01-28",9
"1120","2009-01-29",6
"1121","2009-01-30",7
"1122","2009-01-31",9
"1123","2009-02-01",7
"1124","2009-02-02",13
"1125","2009-02-03",7
"1126","2009-02-04",8
"1127","2009-02-05",8
"1128","2009-02-06",6
"1129","2009-02-07",5
"1130","2009-02-08",9
"1131","2009-02-09",1
"1132","2009-02-10",6
"1133","2009-02-11",9
"1134","2009-02-12",8
"1135","2009-02-13",10
"1136","2009-02-14",10
"1137","2009-02-15",11
"1138","2009-02-16",9
"1139","2009-02-17",3
"1140","2009-02-18",7
"1141","2009-02-19",6
"1142","2009-02-20",7
"1143","2009-02-21",9
"1144","2009-02-22",6
"1145","2009-02-23",5
"1146","2009-02-24",7
"1147","2009-02-25",7
"1148","2009-02-26",6
"1149","2009-02-27",6
"1150","2009-02-28",4
"1151","2009-03-01",5
"1152","2009-03-02",2
